GovernmentName,FiscalYear,TaxRateMO,TaxRateIS,TaxRateTotal,TaxableValue,BudgetedTotalExpenditures,Population,ADAWealth,ADA,ADA5YrsAgo,ADAGrowth,ADAGrowthPct,PledgeType,TotalPrincipalOutstanding,TotalInterestOutstanding,TotalDebtServiceOutstanding,GODebtToTaxableValue,GODebtServiceToTaxableValue,DebtPerCapitaPledgeType,DebtPerADA,DebtServiceToExpenditures
Tyler ISD,2013,1.04,0.335,1.375,7272467291,193071973,96900,424312.6551,17139,16919,220,1.3003,GO,320835000,222906182,543741182,4.4116,7.4767,3311,18720,2.8163
Midlothian ISD,2014,1.04,0.5,1.54,3066640778,110629756,34276,,7432,6983,449,6.4299,GO,243304663,261467566,504772229,7.9339,16.4601,7098,32737,4.5627
Benavides ISD,2015,1.04,0.2398,1.2798,241310590,6159813,2005,741551.7819,325,357,-32,-8.9636,GO,7014000,2155788,9169788,2.9066,3.8,3498,21582,1.4886
Lago Vista ISD,2012,1.04,0.14,1.18,1383821929,14284555,9323,1100558.0874,1257,1169,88,7.5278,GO,42835086,39459146,82294233,3.0954,5.9469,4595,34077,5.7611
Jim Ned CISD,2012,1.04,0.07,1.11,372257958,11349328,4435,383193.5351,971,990,-19,-1.9192,GO,1225000,93983,1318983,0.3291,0.3543,276,1262,0.1162
College Station ISD,2018,1.04,0.358,1.398,9435747179,143918527,139352,663993.706,12764,11028,1736,15.7417,GO,342500000,137528063,480028063,3.6298,5.0873,2458,26833,3.3354
Conroe ISD,2009,1.04,0.23,1.27,18349340969,497977173,252506,408537.7202,44915,35680,9235,25.8828,GO,841470000,545383672,1386853672,4.5858,7.5581,3332,18735,2.785
Kirbyville CISD,2020,0.97,0.335,1.305,326664230,16307362,7479,250853.85,1296.735,1420,-123.265,-8.6806,GO,21020000,10757028,31777028,6.4347,9.7277,2811,16207,1.9486
Malone ISD,2017,1.04,0.0591,1.0991,43151472,1486451,713,388282.1028,111,87,24,27.5862,GO,942000,449880,1391880,2.183,3.2256,1321,8486,0.9364
Galena Park ISD,2021,1.1281,0.33,1.4581,10085468586,328274054,84338,499575.85,20593.442,21195,-601.558,-2.8382,GO,349386390,237161429,586547819,3.4643,5.8158,4143,16966,1.7868
Smyer ISD,2012,1.17,0.15,1.32,102737040,5069432,1620,281627.2019,365,320,45,14.0625,GO,1285000,265988,1550988,1.2508,1.5097,793,3521,0.3059
Tatum ISD,2015,0.9467,0.2233,1.17,1233034499,37386964,7895,780702.5479,1607,1449,158,10.9041,GO,21000000,8806600,29806600,1.7031,2.4173,2660,13068,0.7972
Iredell ISD,2008,1.04,0.107,1.147,64067431,1467028,950,514118.821,125,138,-13,-9.4203,GO,535000,123824,658824,0.8351,1.0283,563,4280,0.4491
Itasca ISD,2021,1.0268,0.3029,1.3297,238953709,15885086,3518,414297.06,574.706,633,-58.294,-9.2092,GO,9365000,3637700,13002700,3.9192,5.4415,2662,16287,0.8185
Bryson ISD,2017,1.04,0.34,1.38,142055791,4881713,1074,685446.1261,242,225,17,7.5556,GO,14362455,7437633,21800088,10.1104,15.3461,13373,59349,4.4657
White Settlement ISD,2019,1.04,0.48,1.52,2028432054,71524283,34589,284172.0157,6353.297,6115,238.297,3.8969,GO,153712305,196004350,349716654,7.5779,17.2407,4444,24195,4.8895
Tornillo ISD,2021,1.0029,0.4689,1.4718,83052369,16443942,2626,95712.91,865.783,1060,-194.217,-18.3224,GO,16389300,4918659,21307959,19.7337,25.6561,6241,18925,1.2958
Borger ISD,2008,1.04,0.279,1.319,484782173,28219446,13650,196026.6639,2473,2691,-218,-8.1011,GO,38832872,34176064,73008936,8.0104,15.0602,2845,15703,2.5872
Yantis ISD,2009,1.06,0.07,1.13,254633271,4904473,688,725965.916,351,347,4,1.1527,GO,1895000,721193,2616193,0.7442,1.0274,2754,5399,0.5334
Shelbyville ISD,2011,1.11,0.1,1.21,224105536,9657975,1500,318230.924,704,706,-2,-0.2833,GO,1649436,715729,2365165,0.736,1.0554,1100,2343,0.2449
Alto ISD,2020,1.0683,0.26,1.3283,150937664,7906869,3637,268563.43,561.95,599,-37.05,-6.1853,GO,15005000,4055703,19060703,9.9412,12.6282,4126,26699,2.4107
Edna ISD,2013,1.04,0.3706,1.4106,392606477,19498616,6000,276340.2047,1421,1382,39,2.822,GO,20870000,9364867,30234867,5.3158,7.7011,3478,14687,1.5506
Royal ISD,2017,1.04,0.4888,1.5288,1089290294,28457183,12936,480769.5316,2165,1913,252,13.173,GO,66379440,31114986,97494426,6.0938,8.9503,5131,30660,3.426
Krum ISD,2020,1.0683,0.3235,1.3918,938585043,24481582,9896,483811.82,1938.725,1957,-18.275,-0.9338,GO,36065031,14343754,50408785,3.8425,5.3707,3644,18600,2.059
Southside ISD,2019,1.17,0.4059,1.5759,1492833807,97581012,36347,242930.3856,5111.396,4862,249.396,5.1295,GO,91305000,54213514,145518514,6.1162,9.7478,2512,17864,1.4913
White Oak ISD,2008,1.04,0.15,1.19,321655842,10265846,6100,249764.9868,1288,1265,23,1.8182,GO,3560000,1657313,5217313,1.1068,1.622,584,2764,0.5082
Blackwell CISD,2012,1.04,0.077,1.117,210233567,4740796,665,1468634.5486,143,138,5,3.6232,GO,6585000,1255700,7840700,3.1322,3.7295,9902,46049,1.6539
Union Grove ISD,2007,1.321,0.08,1.401,203341263,5714600,3644,280237.241,726,641,85,13.2605,GO,197535,802465,1000000,0.0971,0.4918,54,272,0.175
Comfort ISD,2017,1.04,0.164,1.204,792927648,13094244,6817,740680.497,1041,1060,-19,-1.7925,GO,16244995,5184531,21429525,2.0487,2.7026,2383,15605,1.6366
North Zulch ISD,2015,1.04,0.25,1.29,403201604,4426107,1794,1228965.9414,328,327,1,0.3058,GO,6009000,1817211,7826211,1.4903,1.941,3349,18320,1.7682
Howe ISD,2007,1.37,0.305,1.675,156666485,8857294,4850,163970.0385,955,960,-5,-0.5208,GO,12609066,8519290,21128356,8.0483,13.4862,2600,13203,2.3854
Fort Bend ISD,2021,0.9502,0.29,1.2402,44201126698,1199390443,364771,594315.46,74275.025,70875,3400.025,4.7972,GO,1395503388,759589515,2155092903,3.1572,4.8757,3826,18788,1.7968
Yoakum ISD,2017,1.04,0.449,1.489,631046408,25232120,10000,563188.3041,1472,1491,-19,-1.2743,GO,47655000,17854406,65509406,7.5517,10.3811,4766,32374,2.5963
West Hardin County CISD,2011,1.04,0.152,1.192,159230387,5790842,3073,288579.5191,552,566,-14,-2.4735,GO,3215000,1331730,4546730,2.0191,2.8554,1046,5824,0.7852
Joaquin ISD,2010,1.04,0.301,1.341,273734487,8772324,3963,414054.74,661,638,23,3.605,GO,15375000,9720458,25095458,5.6168,9.1678,3880,23260,2.8608
Bells ISD,2017,1.17,0.31,1.48,205936551,8492049,3785,264378.8067,737,712,25,3.5112,GO,9557000,3052260,12609260,4.6407,6.1229,2525,12967,1.4848
San Saba ISD,2011,,,,,8123739,4498,268322.0271,661,707,-46,-6.5064,LP,1510000,592380,2102380,,,336,2284,0.2588
Wolfe City ISD,2020,1.0398,0.1924,1.2322,141777289,8752066,3139,229020.91,617.857,627,-9.143,-1.4582,GO,6395000,2980150,9375150,4.5106,6.6126,2037,10348,1.0712
Comal ISD,2007,1.37,0.27,1.64,6818791999,146561597,73025,508676.1052,13405,10440,2965,28.4004,GO,351066491,323729964,674796455,5.1485,9.8961,4807,26189,4.6042
Liberty-Eylau ISD,2017,1.17,0.2,1.37,525676449,27082984,14787,226040.4309,2285,2467,-182,-7.3774,GO,24970000,16026781,40996781,4.7501,7.7989,1689,10928,1.5137
Ysleta ISD,2017,1.17,0.305,1.475,6452975958,449212568,177453,174916.7694,38467,40208,-1741,-4.33,GO,566290000,490427228,1056717228,8.7756,16.3757,3191,14721,2.3524
Era ISD,2012,1.04,0.14,1.18,135581878,4156298,1550,320563.1837,423,402,21,5.2239,GO,1987371,1176744,3164115,1.4658,2.3337,1282,4698,0.7613
High Island ISD,2020,1.0684,0.15,1.2184,135246234,2814034,333,879966.89,155.22,129,26.22,20.3256,GO,335000,11400,346400,0.2477,0.2561,1006,2161,0.1231
Caddo Mills ISD,2019,1.17,0.285,1.455,517671819,18144732,7371,259241.8441,1730.805,1524,206.805,13.5699,GO,28515860,18942104,47457964,5.5085,9.1676,3869,16474,2.6155
Rogers ISD,2020,0.97,0.2674,1.2374,203456860,9247975,4220,250397.77,810.959,840,-29.041,-3.4573,GO,11005191,6823394,17828585,5.4091,8.7628,2608,13570,1.9278
Somerset ISD,2019,1.17,0.2722,1.4422,501546785,53245941,17101,120645.1341,3744.513,3626,118.513,3.2684,GO,36235700,15927500,52163201,7.2248,10.4005,2119,9676,0.9797
Huntington ISD,2009,1.17,0.33,1.5,176432844,19723727,7529,107457.95,1642,1539,103,6.6927,GO,21006450,14959943,35966393,11.9062,20.3853,2790,12793,1.8235
Gold Burg ISD,2018,1.04,0.09,1.13,103382062,2002466,466,894755.8982,105,105,0,0,GO,185000,3750,188750,0.1789,0.1826,397,1762,0.0943
Ben Bolt-Palito Blanco ISD,2019,1.17,0.3,1.47,85263990,6911682,2330,182531.7217,470.278,535,-64.722,-12.0976,GO,3450000,818825,4268825,4.0463,5.0066,1481,7340,0.6176
Big Spring ISD,2008,1.04,0.064,1.104,1104545202,32868038,24465,306515.938,3604,3694,-90,-2.4364,GO,8680000,3104140,11784140,0.7858,1.0669,355,2408,0.3585
Laneville ISD,2017,1.17,,1.17,80257259,2322102,1422,515250.2887,171,145,26,17.931,GO,354000,130741,484741,0.4411,0.604,249,2070,0.2088
Florence ISD,2013,1.17,0.13,1.3,261401252,10205406,3150,288387.0723,906,967,-61,-6.3082,GO,7054998,2398839,9453837,2.6989,3.6166,2240,7787,0.9264
Hooks ISD,2012,1.04,0.22,1.26,143790006,11348003,4344,173015.6339,831,969,-138,-14.2415,GO,8985000,3596218,12581218,6.2487,8.7497,2068,10812,1.1087
Kaufman ISD,2007,1.37,0.22,1.59,563606571,29233978,18390,169920.4437,3317,2865,452,15.7766,GO,29713077,25997108,55710185,5.272,9.8846,1616,8958,1.9057
Liberty-Eylau ISD,2013,1.17,0.0913,1.2613,517469221,24866414,15162,209777.1369,2467,2492,-25,-1.0032,GO,7185000,1964579,9149579,1.3885,1.7681,474,2912,0.3679
Maud ISD,2018,1.17,0.0389,1.2089,59089322,5048834,2217,128938.2916,438,447,-9,-2.0134,GO,660000,178225,838225,1.117,1.4186,298,1507,0.166
Petrolia ISD,2021,1.0186,0.213,1.2316,156856698,6881992,746,389083.17,402.64,478,-75.36,-15.7657,GO,2798000,376681,3174681,1.7838,2.0239,3751,6943,0.4613
Bland ISD,2008,,,,,4589411,2026,195306.5939,537,530,7,1.3208,LP,175000,10473,185473,,,86,326,0.0404
Tatum ISD,2013,0.855,0.315,1.17,1452634747,28324299,6392,944526.0265,1538,1368,170,12.4269,GO,25305000,10833700,36138700,1.742,2.4878,3959,16453,1.2759
Flatonia ISD,2016,1.17,0.14,1.31,452229301,8285778,3743,818717.6203,552,551,1,0.1815,GO,4127000,1436740,5563740,0.9126,1.2303,1103,7476,0.6715
Dalhart ISD,2014,1.04,0.1575,1.1975,1108188025,16608034,10870,,1625,1498,127,8.478,GO,15260000,7887189,23147189,1.377,2.0887,1404,9391,1.3937
London ISD,2017,0.971,0.3865,1.3575,336245783,9089482,3651,354777.5231,908,571,337,59.0193,GO,18573953,11024807,29598760,5.5239,8.8027,5087,20456,3.2564
Wellington ISD,2013,,,,,7379800,3260,214865.9876,537,596,-59,-9.8993,LP,1680000,197488,1877488,,,515,3128,0.2544
Bushland ISD,2008,1.04,0.148,1.188,749918398,11022200,4592,721796.4851,1039,543,496,91.3444,GO,15105097,8697561,23802659,2.0142,3.174,3289,14538,2.1595
Burton ISD,2018,1.04,0.13,1.17,418081580,5537925,3811,888520.3726,426,337,89,26.4095,GO,5670000,2004366,7674366,1.3562,1.8356,1488,13310,1.3858
Jim Ned CISD,2018,1.04,0.22,1.26,449417970,11289688,5747,363083.7537,1150,1016,134,13.189,GO,12975000,5031363,18006363,2.8871,4.0066,2258,11283,1.5949
Thorndale ISD,2014,1.17,0.14,1.31,125820644,6919576,984,,582,513,69,13.4503,GO,888000,52250,940250,0.7058,0.7473,902,1526,0.1359
Brenham ISD,2016,1.0333,0.1017,1.135,2441377069,47544346,29030,531120.0014,4594,4571,23,0.5032,GO,40178245,29100961,69279206,1.6457,2.8377,1384,8746,1.4571
Rusk ISD,2015,1.04,0.1125,1.1525,359676597,18500138,13427,176499.8167,2038,1996,42,2.1042,GO,2090000,171269,2261269,0.5811,0.6287,156,1026,0.1222
City View ISD,2019,1.17,0.25,1.42,196064329,14350832,4541,182492.3536,991.507,972,19.507,2.0069,GO,12008693,8660334,20669028,6.1249,10.542,2645,12106,1.4403
Stephenville ISD,2020,0.99,0.2829,1.2729,1947167550,45374190,25896,555951.89,3502.403,3451,51.403,1.4895,GO,77355000,37292491,114647491,3.9727,5.8879,2987,22089,2.5267
Van Vleck ISD,2010,1.01,0,1.01,580456267,10357555,6000,643799.0076,902,946,-44,-4.6512,GO,520000,21596,541596,0.0896,0.0933,87,576,0.0523
Highland ISD,2010,1.16,0.195,1.355,270871652,5307541,395,1329333.5558,204,199,5,2.5126,GO,6470000,1524288,7994288,2.3886,2.9513,16380,31716,1.5062
Blanco ISD,2008,0.974,0.12,1.094,554781328,9706128,5364,602370.3964,921,877,44,5.0171,GO,6285000,2253570,8538570,1.1329,1.5391,1172,6824,0.8797
Medina Valley ISD,2016,1.04,0.3482,1.3882,1400223124,42289182,22322,332827.263,4203,3350,853,25.4627,GO,120438950,92866382,213305332,8.6014,15.2337,5396,28655,5.044
Crowley ISD,2014,1.17,0.5,1.67,4664071941,142470332,75938,,13986,14008,-22,-0.1571,GO,306970433,300696355,607666788,6.5816,13.0287,4042,21948,4.2652
Wortham ISD,2011,1.04,0.293,1.333,135336328,5855109,2770,285497.9959,474,427,47,11.007,GO,7140000,4241191,11381191,5.2757,8.4096,2578,15063,1.9438
Lumberton ISD,2008,1.04,0.09,1.13,684698706,29515444,13750,192834.9055,3551,3159,392,12.409,GO,14139241,4650615,18789856,2.065,2.7443,1028,3982,0.6366
Pflugerville ISD,2019,1.06,0.46,1.52,14201199580,317289659,136095,516032.1036,23838.33,22621,1217.33,5.3814,GO,596945000,311421114,908366114,4.2035,6.3964,4386,25042,2.8629
Spring Branch ISD,2009,1.09,0.293,1.383,18345691727,347424121,188000,616762.4961,29745,30703,-958,-3.1202,GO,519023009,299895898,818918906,2.8291,4.4638,2761,17449,2.3571
Houston ISD,2018,,,,,2874241077,1529513,854340.3748,193827,6043,187784,3107.4632,LP,126097264,40653139,166750403,,,82,651,0.058
Comal ISD,2020,0.97,0.35,1.32,17040409256,336385543,148325,823562.55,23457.842,20106,3351.842,16.6709,GO,722510179,372001092,1094511271,4.24,6.423,4871,30800,3.2537
Loraine ISD,2019,1.04,0.4466,1.4866,179301108,3098150,920,658512.5128,143.493,150,-6.507,-4.338,GO,8485000,1835866,10320866,4.7323,5.7562,9223,59336,3.3313
Crosby ISD,2007,1.37,0.301,1.671,999178927,44463289,24050,228446.7799,4374,3744,630,16.8269,GO,74411692,50999280,125410972,7.4473,12.5514,3094,17012,2.8206
Chapel Hill ISDa,2017,1.08,0.16,1.24,1134893661,34883768,24426,333870.6063,3392,3214,178,5.5383,GO,16765000,5761675,22526675,1.4772,1.9849,686,4943,0.6458
Era ISD,2016,1.04,0.11,1.15,189151485,5804678,1800,407978.3234,463,423,40,9.4563,GO,4555525,2162751,6718276,2.4084,3.5518,2531,9839,1.1574
Valley Mills ISD,2010,1.04,0.274,1.314,189407820,11023676,3207,322217.4929,588,601,-13,-2.1631,GO,8475956,6225164,14701120,4.475,7.7616,2643,14415,1.3336
Pearsall ISD,2011,1.17,0.198,1.368,443856250,25157114,9791,216392.1643,2051,2153,-102,-4.7376,GO,25939982,10863389,36803371,5.8442,8.2917,2649,12647,1.4629
Corpus Christi ISD,2008,,,,,326409606,208038,273494.8716,35493,36088,-595,-1.6487,LP,24300000,10166598,34466598,,,117,685,0.1056
Richland Springs ISD,2019,1.1273,0.18,1.3073,88764242,2289835,707,578072.637,113.606,107,6.606,6.1738,GO,2485000,1583525,4068525,2.7996,4.5835,3515,21798,1.7768
Alvin ISD,2016,1.04,0.377,1.417,6566831451,321518767,134819,245013.6281,20817,16867,3950,23.4185,GO,647785000,351890297,999675297,9.8645,15.2231,4805,31118,3.1092
